RequestKey;LookupType;Query;Status;Ico;CompanyName;LegalForm;LegalFormCode;City;Address;IsActive;Candidates;Error;ResolvedUtc;Occurrences;SampleSubject;SampleFolder
jakozto jediny akcionar spolecnosti pnreality cz a s;Name;jakožto jediný akcionář společnosti pnreality.cz a.s.;Pending;;;;;;;;;;;2;Fw: pnreality.cz - dotaz na právní;29444934 pnreality.cz a.s
souz s r o;Name;Souz s.r.o.;Pending;;;;;;;;;;;4;Souz s.r.o. - ičo 09710141;09710141 Souz s.r.o
tony maxxo s r o;Name;TONY MAXXO s.r.o.;Pending;;;;;;;;;;;13;FW: TONY MAXXO s.r.o. IČ: 01838512;01838512 TONY MAXXO s.r.o
vrv spol s r o;Name;VRV spol. s r.o.;Pending;;;;;;;;;;;3;Odpověď pro klienta VRV spol. s r.o.;48168432 VRV spol. s r.o
svj vodni 113 4;Name;SVJ Vodní 113/4;Pending;;;;;;;;;;;3;SVJ Vodní 113/4, Krnov, IČ: 26847477- kontrola zápisu ;26847477 Společenství vlastníků domu Vodní, Krnov
svj o uveru;Name;SVJ o úvěru;Pending;;;;;;;;;;;3;Monitoring zápis SVJ o úvěru ;25957147 Společenství vlastníků Bacháčkova 1126, Pardubice
25703307;Ico;25703307;Pending;;;;;;;;;;;1;RE: 1 Žádosti - 3x;25703307 a.s
dum senioru michle s r o;Name;Dům seniorů Michle s.r.o.;Pending;;;;;;;;;;;1;FW: Fúze;25780450 WPB Capital, spořitelní družstvo v likvidaci
gass eko s r o;Name;Gass-eko s.r.o.;Pending;;;;;;;;;;;7;RE:  Gass-eko s.r.o., IČ: 26819970 -  Smlouva o podřízení pohledávek ;26819970 Gass-eko s.r.o
atira cz s r o;Name;ATIRA CZ s.r.o.;Pending;;;;;;;;;;;6;Fw: ATIRA CZ s.r.o., IČ 28116208, č. úvěru: 0506694169;28116208 ATIRA CZ, spol. s r.o
tak jak jsou tj uzavrene s r o;Name;tak jak jsou tj. uzavřené s.r.o.;Pending;;;;;;;;;;;4;Re: svěřenský fond x kupující ;17810761 Svěřenský fond ke správě a údržbě nemovitostí
ovb allfinanz a s;Name;OVB Allfinanz a.s.;Pending;;;;;;;;;;;3;Fw: Fw[2]: Tydlacka vyporadani;27451321 Copeland Czech s.r.o
spa s r o;Name;SPA s.r.o.;Pending;;;;;;;;;;;2;Re: Rozhodnutí jediného společníka;SPA s.r.o
moba studio s r o;Name;MOBA studio s.r.o.;Pending;;;;;;;;;;;14;Fw: MOBA studio s.r.o. (61459712), INV 0627610179/0800;61459712 MOBA studio s.r.o
spolecenstvi vlastniku norska 1253 4;Name;Společenství vlastníků Norská 1253/4;Pending;;;;;;;;;;;10;Re: Fw: Fw: Uver - rekonstrukce bytoveho domu - Norská 4;Společenství vlastníků Norská 1253-4
svj koupe pozemku svj hradistko 144 ic 26483963;Name;SVJ - koupě pozemku SVJ Hradištko 144 (IC: 26483963);Pending;;;;;;;;;;;3;Financování SVJ - koupě pozemku SVJ Hradištko 144 (IC: 26483963);26483963 Společenství vlastníků jednotek domu Hradištko 144
svj jicinska;Name;SVJ JIČÍNSKÁ;Pending;;;;;;;;;;;3;Re: SVJ JIČÍNSKÁ, IČO: 26773040 - dotazy klienta ke smlouvě k úvěru č. 0626360139 a ke smlouvě o zastavení pohledávek z BÚ č. ZÚ/0626360139;26773040 Společenství vlastníků Jičínská 1797 a 2736, Praha 3
verale s r o;Name;VERALE s.r.o.;Pending;;;;;;;;;;;5;klient VERALE s.r.o., IČ 28999991 - posouzení  kupní smlouva - způsob úhrady - konzultace;28999991 VERALE s.r.o
studio map s r o;Name;Studio MAP s.r.o.;Pending;;;;;;;;;;;12;Fw: Studio MAP s.r.o., IČ 06856781 - Kupní smlouva ;06856781 Studio MAP s.r.o
pacak s r o;Name;Pacak s.r.o.;Pending;;;;;;;;;;;6;Fw: Pacak s.r.o. 04926510 - žádost o úvěr;04926510 Pacak s.r.o
partner s r o;Name;PARTNER s.r.o.;Pending;;;;;;;;;;;4;FW: Posouzení KS  - Privátní business hypotéka - klient Jarošová Šárka 7955261743	2078318633;26070341 NEUBAUER & PARTNER s.r.o., advokátní kancelář
all inclusive living a s;Name;All Inclusive Living a.s.;Pending;;;;;;;;;;;2;All Inclusive Living a.s.-Fw: VH - souhlas s prodejem nemovitostí a se zástavou,  Zástavní smlouva, Kupní smlouva;19137656 KV estate 01 s.r.o
pedicor care s r o;Name;Pedicor Care s.r.o.;Pending;;;;;;;;;;;2;Re: Pedicor Care s.r.o., IČ/RČ: 26839377, produkt: Neúčelový úvěr, požadavek: Změna pojištění (bez schválení) Požadavek správy. Žádost je ve stavu: Doplnit dokumentaci.;26839377 Pedicor Care s.r.o
v s r o;Name;V s.r.o.;Pending;;;;;;;;;;;6;DOMEG & V s.r.o.-Fw: Kontrola dokumentace;V s.r.o
svj ic 26879425;Name;SVJ IČ: 26879425;Pending;;;;;;;;;;;3;Fw: SVJ IČ: 26879425;26879425 Společenství vlastníků pro dům Záhumenní 351
praha s r o;Name;Praha s.r.o.;Pending;;;;;;;;;;;6;Re: Tradeco - Praha s.r.o._IČ 61466921;61466921 Tradeco - Praha s.r.o
deczman s r o;Name;DECZMAN s.r.o.;Pending;;;;;;;;;;;8;Fw: DECZMAN s.r.o., IČ 053 87 795 - koupě Hala Rakovník;05387795 MANEU-CZ s. r. o. v likvidaci
farma domasin s r o;Name;Farma Domašín s.r.o.;Pending;;;;;;;;;;;2;Fw: Farma Domašín s.r.o., IČ 04851226 - ID žádosti 2070854488,;04851226 Farma Domašín s.r.o
krucek s r o;Name;Krucek s.r.o.;Pending;;;;;;;;;;;3;Krucek s.r.o., IČ 02037297 Smlouva o uzavření budoucí kupní smlouvy;02037297 KRUCEK, s.r.o
home mont s r o;Name;HOME MONT s.r.o.;Pending;;;;;;;;;;;10;Re: Žádost o informaci (HOME MONT s.r.o., IČ 06663958);06663958 HOME MONT s.r.o
hase one s r o;Name;Hase one s.r.o.;Pending;;;;;;;;;;;8;Fw: Hase one s.r.o., IČO: 14128977, smlouva o dílo;14128977 HASE one s.r.o
svj 1725;Name;SVJ 1725;Pending;;;;;;;;;;;4;Kontrola zápisu SVJ 1725, Písek, IČ 26055147;26055147 Společenství vlastníků bytů domů čp. 1725, 1726, 1727 v Harantově ulici v Písku
farma kamenicna s r o;Name;Farma Kameničná s.r.o.;Pending;;;;;;;;;;;6;RE: Kupní smlouva pozemky Lubník - PRO ČERPÁNÍ ÚVĚRU č. 608969119/0800, klient Farma Kameničná s.r.o., IČ: 04488091;04488091 Farma Kameničná s.r.o
bonum repro s r o;Name;BONUM-REPRO s.r.o.;Pending;;;;;;;;;;;3;BONUM-REPRO s.r.o.-Fw: Konzultace - Smlouva o úplatném převodu podílu;62526286 BONUM-REPRO s.r.o
cityzen s r o;Name;CityZen s.r.o.;Pending;;;;;;;;;;;3;Fw: CityZen s.r.o. ;07420366 CityZen s.r.o
spc jd residential s r o;Name;SPC JD Residential s.r.o.;Pending;;;;;;;;;;;3;Re:  Projekt Nové Jirny / konzultace LCD;19158793 Jakes.Residential s.r.o
partners s r o;Name;PARTNERS s.r.o.;Pending;;;;;;;;;;;4;kontrola kupní smlouvy;04768663 Duffek s.r.o
svj spravuje jednani;Name;SVJ spravuje . Jednání;Pending;;;;;;;;;;;6;FW: Fwd: Re: Odkup pozemku přilehlého k bytovému domu;SVJ spravuje . Jednání
bd klementina s r o;Name;BD Klementina s.r.o.;Pending;;;;;;;;;;;4;Fw: upřesnění návrhu na vklad V-12917/2023-702 (ing. Zámečníková, ing. Hoza);07431830 BD Klementina s.r.o
onesolution s r o;Name;ONEsolution s.r.o.;Pending;;;;;;;;;;;2;ONEsolution s.r.o., IČ 27710335;27710335 ONEsolution s.r.o
g8 reality s r o;Name;G8 Reality s.r.o.;Pending;;;;;;;;;;;9;Fw: G8 Reality s.r.o., IČ: 01913638;01913638 G8 Reality s.r.o
distalis s r o;Name;Distalis s.r.o.;Pending;;;;;;;;;;;6;Re: Distalis s.r.o., IČ: 09314041;09314041 Distalis s. r. o
tropol s r o;Name;Tropol s.r.o.;Pending;;;;;;;;;;;7;Fw: Tropol s.r.o. ič  03583066;03583066 Tropol s.r.o
zestav s r o;Name;ZESTAV s.r.o.;Pending;;;;;;;;;;;3;Fw: Návrh kupní smlouvy ZESTAV;26227525 STARKON a.s
domecos s r o;Name;DOMECOS s.r.o.;Pending;;;;;;;;;;;1;Fw: Zápis z valné hromady;29412552 DOMECOS s.r.o
4bra3 s r o;Name;4BRA3 s.r.o.;Pending;;;;;;;;;;;6;Právní stanovisko k případu ID 2067381013 ,  4BRA3 s.r.o. 06598528;06598528 4BRA3 s.r.o
finsense services s r o;Name;FinSense Services s.r.o.;Pending;;;;;;;;;;;3;Fw: FinSense Services s.r.o., IČ: 11944676 - projektové financování na pronájem ve výši cca 26 mil Kč;11944676 FinSense Services s.r.o
svj vcetne bd privatizace 357 550 373 373 382 15 5 4;Name;SVJ (včetně BD-privatizace) 357 550 373 373 382 15 5 4;Pending;;;;;;;;;;;2;Re:  Veveří 160/51, bytové družstvo, ID 2064319921;SVJ (včetně BD-privatizace) 357 550 373 373 382 15 5 4
futtec a s;Name;FUTTEC a.s.;Pending;;;;;;;;;;;6;URGENTNÍ Re: ID žádosti 2079548778, společnost FUTTEC a.s.  IČ 27956857;27956857 FUTTEC a.s
svj serikova;Name;SVJ Šeříková;Pending;;;;;;;;;;;1;RE: SVJ Šeříková, IČ: 06637752 ;06637752 Společenství vlastníků Šeříková 609, 610
trnkovecka s r o;Name;trnkovecká s.r.o.;Pending;;;;;;;;;;;3;FW: 1. trnkovecká s.r.o. CLUID: 8021-01-25-13.14.30.320647;09676449 První Trnkovecká s.r.o
zembou development s r o;Name;ZEMBOU Development s.r.o.;Pending;;;;;;;;;;;4;Re: Developerský projekt / ZEMBOU Development s.r.o. / 05352061;05352061 ZEMBOU Development s.r.o
svj jindrisska 785;Name;SVJ Jindřišská 785;Pending;;;;;;;;;;;3;SVJ Jindřišská 785, Pardubice;25988956 Společenství vlastníků jednotek Jindřišská 785, Pardubice
horsky hotel morava spol s r o;Name;HORSKÝ HOTEL MORAVA spol. s r.o.;Pending;;;;;;;;;;;1;Fw: CMT Group s.r.o. v likvidaci (dříve HORSKÝ HOTEL MORAVA spol. s r.o.), IČO: 0 25512943 ;25512943 HORSKÝ HOTEL MORAVA spol. s r.o
72554797;Ico;72554797;Pending;;;;;;;;;;;2;Re: Společenství vlastníků Kounice 608-Kontrola zápisu ze schůze;72554797 Společenství vlastníků Kounice 608-Kontrola zápisu ze schůze
mijo czech spol s r o;Name;MIJO-CZECH spol. s r.o.;Pending;;;;;;;;;;;4;MIJO-CZECH spol. s r.o., IČO: 21499942;21499942 MIJO-CZECH spol. s r.o
flexi truck s r o;Name;Flexi Truck s.r.o.;Pending;;;;;;;;;;;2;kupní smlouva Flexi Truck s.r.o. Ič 29155274;29155274 Flexi Truck s.r.o
castle moravia s r o;Name;CASTLE MORAVIA s.r.o.;Pending;;;;;;;;;;;4;Re: Bývalý klient SBERBANK - CASTLE MORAVIA s.r.o.;29201853 CASTLE MORAVIA s.r.o
ax invest s r o;Name;AX INVEST s.r.o.;Pending;;;;;;;;;;;2;Fw: Smlouva o budoucí kupní smlouvě;63393263 AX INVEST s.r.o
b care s r o;Name;B-care s.r.o.;Pending;;;;;;;;;;;2;Re: žádost o konzultaci obchodu = nákup nemovitosti pro spol. B-Care;09765085 Decompressio s. r. o
svj 1611 1613 v pisku ico 26045583;Name;SVJ 1611 - 1613 v Písku ičo 26045583;Pending;;;;;;;;;;;4;Dotaz pro SVJ 1611 - 1613 v Písku ičo 26045583;26045583 Společenství vlastníků jednotek domu čp. 1611 - 1613 v Zeyerově ulici v Písku
olympia project s r o;Name;OLYMPIA project s.r.o.;Pending;;;;;;;;;;;8;Re: OLYMPIA project s.r.o. IČ 48039012 prosím o odpovědi k přílohám klienta;48039012 OLYMPIA project s.r.o
svj investicni na koupi pozemku;Name;SVJ - investiční na koupi pozemku;Pending;;;;;;;;;;;5;Re: 	 Společenství vlastníků jednotek pro dům K Dalejím 89/2-Fw: Poskytnutí úvěru SVJ - investiční na koupi pozemku, IČO: 75043564;75043564 Společenství vlastníků jednotek pro dům K Dalejím 89-2
pettom ns s r o;Name;PETTOM NS s.r.o.;Pending;;;;;;;;;;;3;PETTOM NS s.r.o., IČ: 04638999;04638999 PETTOM NS s.r.o
ceramic dent s r o;Name;Ceramic Dent s.r.o.;Pending;;;;;;;;;;;5;Ceramic Dent s.r.o-Fw: kontrola dokumentu ROZHODNUTÍ JEDINÉHO SPOLEČNÍKA V PŮSOBNOSTI VALNÉ HROMADY;07596863 Ceramic Dent s.r.o
via alta a s;Name;VIA ALTA a.s.;Pending;;;;;;;;;;;3;Fwd: VIA ALTA a.s.  IČ 26906741;26906741 WADES a.s
cerpani firmy gs stav lib s r o;Name;Čerpání firmy GS STAV LIB s.r.o.;Pending;;;;;;;;;;;5;FW: Čerpání  firmy GS STAV LIB s.r.o. -  IĆ 11786698 - dotaz na Vás v rámci čerpání - Smartcase :SC0000000059343521;11786698 GS STAV LIB s.r.o
testuj to s r o;Name;Testuj.to s.r.o.;Pending;;;;;;;;;;;7;Testuj.to s.r.o.-Fw: 07652780;07652780 Testuj.to s.r.o
marpet trans s r o;Name;Marpet trans s.r.o.;Pending;;;;;;;;;;;6;Fw: Tuklaty - Návrh smluvní dokumentace ID případu 2051143735, společnost Marpet trans s.r.o. ;04404815 Marpet trans s.r.o
jerky group s r o;Name;JERKY Group s.r.o.;Pending;;;;;;;;;;;3;Fw: Žádost o kontrolu dokumentů k aktuálně realizované kupní transakci - hypoteční úvěr pro JERKY Group s.r.o.;07033583 JERKY Group s.r.o
muze pan bohm zastupovat alfex industry s r o;Name;Může pan Böhm zastupovat ALFEX INDUSTRY s.r.o.;Pending;;;;;;;;;;;4;Fw: Plná moc Lukáš Böhm 1998-10-27-15.54.17.946935;04731964 ALFEX INDUSTRY s.r.o
svj nezalozi stanovy do sbirky listin;Name;SVJ nezaloží stanovy do Sbírky listin;Pending;;;;;;;;;;;2;FW: doklady na justici;SVJ nezaloží stanovy do Sbírky listin
kovopor strmilov s r o;Name;Kovopor Strmilov s.r.o.;Pending;;;;;;;;;;;2;Fw: Kovopor;08672181 Investcrown s.r.o
svj nelze k lient musi pocita s tim;Name;SVJ nelze. K lient musí počítá s tím;Pending;;;;;;;;;;;2;Fw: Dotaz;26581710 Občanské sdružení spoluvlastníků domu č.p. 2537 v Lounech
likrem s r o;Name;LIKREM s.r.o.;Pending;;;;;;;;;;;7;Re: Žádost o kontrolu správnosti doložených plných mocí;46712747 LIKREM s.r.o
coco s r o;Name;Coco s.r.o.;Pending;;;;;;;;;;;8;Fw: Úvěrová smlouva USZ21225/00718;02840740 Wild & Coco s.r.o
svj tabor;Name;SVJ Tábor;Pending;;;;;;;;;;;4;Fw: kontrola zápisu SVJ Tábor, Jaselská 2321,2322,2323,2324 IČ 26040361;26040361 Společenství vlastníků bytových jednotek Tábor, Jaselská 2321,2322,2323,2324
ralloc s r o;Name;Ralloc s.r.o.;Pending;;;;;;;;;;;3;Fw: Ralloc s.r.o._kontrola klienta ;26395215 Ralloc s.r.o
binor development s r o;Name;BINOR Development s.r.o.;Pending;;;;;;;;;;;5;Fw: Oprava podkladů pro čerpání úvěru  BINOR Development s.r.o., IČ/RČ: 10927751, ;10927751 BINOR Development s.r.o
vmj s r o;Name;VMJ s.r.o.;Pending;;;;;;;;;;;3;VMJ s.r.o.-Fw: prodej areálu Štětí - návrh postupu;25485482 VMJ s.r.o
midr fin s r o;Name;MIDR Fin s.r.o.;Pending;;;;;;;;;;;3;Fw: MIDR Fin s.r.o., IČ: 07338465 - podklady BD Ketkovice;07338465 MIDR Fin s.r.o
pouze prevadi pozemek z s r o;Name;pouze převádí pozemek z s.r.o.;Pending;;;;;;;;;;;2;Fw: Souhlas ČS;25732935 BOSTEC s.r.o
aladon s r o;Name;Aladon s.r.o.;Pending;;;;;;;;;;;2;Fw: Aladon s.r.o. 14144140;14144140 Aladon s.r.o
svj vitkova 333 36;Name;SVJ Vítkova 333/36;Pending;;;;;;;;;;;2;Fw: Prosba - Řešení pojistné smlouvy BD / SVJ Vítkova 333/36;02714388 Bytové družstvo Vítkova 36
gastro consus s r o;Name;Gastro consus s.r.o.;Pending;;;;;;;;;;;2;Gastro consus s.r.o. 08581126;08581126 Gastro consus s.r.o
ondreje svaba ze spol lawca partners s r o;Name;Ondřeje Švába ze spol. LAWCA PARTNERS s.r.o.;Pending;;;;;;;;;;;2;BÚ - úschovy;09849751 LAWCA PARTNERS s.r.o
dona reality s r o;Name;Dona reality s.r.o.;Pending;;;;;;;;;;;2;Re: Dona reality s.r.o.  IČO 27334236-  zápis z valné hromady ;27334236 DONA reality s.r.o
prvni vysocanska s r o;Name;První Vysočanská s.r.o.;Pending;;;;;;;;;;;5;Fw:  První Vysočanská s.r.o., IČ: 23222492_Projektové financování ;23222492 První Vysočanská s.r.o
fop na spol s r o;Name;FOP na spol. s.r.o.;Pending;;;;;;;;;;;6;Re: Úpravy Colman v rámci štěpení/fúze;72846437 Václav Matoulek
rubber steel construction s r o;Name;Rubber steel construction s.r.o.;Pending;;;;;;;;;;;2;Fw: Rubber steel construction s.r.o., IČ: 05266076;05266076 Rubber Steel Construction s.r.o
04614577;Ico;04614577;Pending;;;;;;;;;;;2;Medixo double s.r.o. - 046 14 577 ;04614577 Medixo double s.r.o
stavby s r o;Name;stavby s.r.o.;Pending;;;;;;;;;;;4; KZP - stavby s.r.o. - urgence - příprava smluvní dokumentace LCD;stavby s.r.o
plna moc marwill s r o;Name;PLNÁ MOC MARWILL s.r.o.;Pending;;;;;;;;;;;2;Fw: Plná moc ;14004895 MAT office s.r.o
z vision s r o;Name;Z-vision s.r.o.;Pending;;;;;;;;;;;7;FW: Z-vision s.r.o., IČ 05385393;05385393 Z-Vision s.r.o
tiskarna hradistko s r o;Name;Tiskárna Hradištko s.r.o.;Pending;;;;;;;;;;;5;Tiskárna Hradištko s.r.o. 04499581;04499581 Tiskárna Hradištko s.r.o
plna moc humpolecka stavebni s r o;Name;Plná moc HUMPOLECKÁ STAVEBNÍ s.r.o.;Pending;;;;;;;;;;;3;Re: Plná moc HUMPOLECKÁ STAVEBNÍ s.r.o. IČ: 28158164;28158164 HUMPOLECKÁ STAVEBNÍ s.r.o
kos servis s r o;Name;KOS servis s.r.o.;Pending;;;;;;;;;;;1;Re: Prosba;65985974 KOS servis s.r.o
horvat buildings s r o;Name;HORVAT buildings s.r.o.;Pending;;;;;;;;;;;2;HORVAT buildings s.r.o., IČO: 07259131, generální plná moc;07259131 HORVAT buildings s.r.o
constelius s r o;Name;Constelius s.r.o.;Pending;;;;;;;;;;;6;FW: Radim Zadražil -Fw: Kupní smlouva pan Zadražil x Adelt;28147294 Constelius s.r.o., advokátní kancelář
fixtures s r o;Name;fixtures s.r.o.;Pending;;;;;;;;;;;2;Fw: ič  03092500 CADYVA tools & fixtures s.r.o.;03092500 CADYVA tools & fixtures s.r.o
mh nemovitosti s r o;Name;MH nemovitosti s.r.o.;Pending;;;;;;;;;;;4;"Fw: Žádost o přednostní stanovisko ke Kupni smlouvě -  vypořádání Kupní ceny/Návrh smlouvy ""MH nemovitosti s.r.o., IČ 09192301, ID CPS 2074932942""";09192301 MH nemovitosti s.r.o
arimatie s r o;Name;Arimatie s.r.o.;Pending;;;;;;;;;;;3;dotaz ke korporátnímu souhlasu se zástavou nem. ;06286968 Arimatie s.r.o
svj j myslivecka 25899350 doplneni k odsouhlaseni z;Name;SVJ J. myslivečka 25899350 - doplnění k odsouhlasení z;Pending;;;;;;;;;;;1;SVJ J. myslivečka 25899350 - doplnění k odsouhlasení zápisu per rollam - K NAČERPÁNÍ ÚVĚRU;25899350 Společenství vlastníků domu č. p. 1880, Frýdek-Místek
fokus bohemia s r o;Name;Fokus Bohemia s.r.o.;Pending;;;;;;;;;;;6;Re: Fokus Bohemia s.r.o., IČ 05760569, ID 2065153578;05760569 Fokus Bohemia, s. r. o
i b shcorporate s r o;Name;I&B ShCorporate s.r.o.;Pending;;;;;;;;;;;3;I&B ShCorporate s.r.o., IČ: 05974429, žádost č. 2066358991;05974429 I&B ShCorporate s.r.o
zemedelsky podnik malse a s;Name;Zemědělský podnik Malše a.s.;Pending;;;;;;;;;;;3;Fw: Zemědělský podnik Malše a.s., IČ 26027518;26027518 Zemědělský podnik Malše a. s
future dolej s r o;Name;Future Dolej s.r.o.;Pending;;;;;;;;;;;2;Fw: Future Dolej s.r.o., IČ: 09958894, ID: 2043539788;09958894 Future Dolej s.r.o
pmc food s r o;Name;PMC food s.r.o.;Pending;;;;;;;;;;;1;PMC food s.r.o., IČ 29211999 ;29211999 PMC food, s.r.o
varovani zdenek paskevic depo syndicate i s r o;Name;Varování Zdeněk Paškevič DEPO Syndicate I. s.r.o.;Pending;;;;;;;;;;;1;RE: Automatická odpověď: Plná moc - Paškevič Zdeněk  8210070011;22626948 Z.I.N.N. Karlín 1 s.r.o
svj ruska 1231 1234 banka text ke schvaleni prosim;Name;SVJ Ruska 1231-1234 Banka - Text ke schválení - prosím;Pending;;;;;;;;;;;3;Fw: SVJ Ruska 1231-1234 Banka - Text ke schválení - prosím o kontrolu kvality dokumentů pro zajištění nezpochybnitelnosti usnesení o přijetí úvěru od ČS na provedení rekonstrukce;24723801 Společenství vlastníků Ruská 1231-1234, Praha 10
i e t sprava nemovitosti s r o;Name;I.E.T. správa nemovitostí s.r.o.;Pending;;;;;;;;;;;3;I.E.T. správa nemovitostí s.r.o., IČ 11995858 -  konzultace účelu úvěru;11995858 I.E.T. Správa nemovitostí, s.r.o
sfg estate s r o;Name;SFG Estate s.r.o.;Pending;;;;;;;;;;;4;SFG Estate;06263887 SFG Estate s.r.o
elektro efekt s r o;Name;ELEKTRO EFEKT s.r.o.;Pending;;;;;;;;;;;3;Fw: prosba ELEKTRO EFEKT s.r.o. IČ 25222228;25222228 ELEKTRO EFEKT s.r.o
my bed s r o;Name;MY BED s.r.o.;Pending;;;;;;;;;;;6;Re: MY BED s.r.o., IČ: 07145900;07145900 MY BED s.r.o
spolecenstvi vlastniku hlavni cp 110 112 brezova;Name;Společenství vlastníků Hlavní čp. 110 -112 BŘEZOVÁ;Pending;;;;;;;;;;;1;Společenství vlastníků Hlavní čp. 110 -112 BŘEZOVÁ, IČ 71205110;71205110 Společenství vlastníků Hlavní čp. 110 - 112 BŘEZOVÁ
lyvus properties s r o;Name;Lyvus Properties s.r.o.;Pending;;;;;;;;;;;1;Re: Lyvus Properties s.r.o., IČ/RČ: 19172699, ID 2077720366;19172699 Lyvus Properties s.r.o
sauna cafe s r o;Name;Sauna Cafe s.r.o.;Pending;;;;;;;;;;;3;Fw: Plná moc k podpisu úvěru za firmu Sauna Cafe s.r.o., IČ: 17550271;17550271 Sauna Cafe s.r.o
lkv lomnice s r o;Name;LKV Lomnice s.r.o.;Pending;;;;;;;;;;;5;Fwd: Klient: LKV Lomnice s.r.o., IČ 26004313;26004313 LKV Lomnice s.r.o
02791479;Ico;02791479;Pending;;;;;;;;;;;2;Ekopurg s.r.o., IC 02791479 - dotaz;02791479 Ekopurg s.r.o
to system s r o;Name;TO system s.r.o.;Pending;;;;;;;;;;;7;28911822 TO system s.r.o. dotaz k zajištění;28911822 TO SYSTEM s.r.o
kabe reality s r o;Name;KABE reality s.r.o.;Pending;;;;;;;;;;;3;dotaz ke klientovi KABE reality s.r.o. , IČ: 07630425;07630425 KABE Reality s.r.o
decky popko real estate s r o;Name;Děcký Popko Real Estate s.r.o.;Pending;;;;;;;;;;;2;Dohoda o započtení;Děcký Popko Real Estate s.r.o
spolecenstvi vlastniku domu k zastavce 537;Name;Společenství vlastníků domu K Zastávce 537;Pending;;;;;;;;;;;5;Re: Společenství vlastníků domu K Zastávce 537, Veselí nad Lužnicí;25171704 SORETA Group správa bytů s.r.o
enven investment s r o;Name;Enven Investment s.r.o.;Pending;;;;;;;;;;;1;Re: CPS: CPS - MSE: přiřazení úkolu - Enven Investment s.r.o.;04092562 Enven Investment s.r.o
komplexni nakladani s odpady s r o;Name;komplexní nakládání s odpady s.r.o.;Pending;;;;;;;;;;;3;Re: ECOSERVIS - komplexní nakládání s odpady s.r.o. - kontrola dokumentů;24689483 ECOSERVIS - komplexní nakládání s odpady s.r.o
bytypod s r o;Name;BYTYPOD s.r.o.;Pending;;;;;;;;;;;2;Fw: Dotaz k KS - Financování nákupu nemovitosti- náš klient  společnost BYTYPOD s.r.o. - IČ 23339667;23339667 BYTYPOD s.r.o
magic english s r o;Name;MAGIC ENGLISH s.r.o.;Pending;;;;;;;;;;;1;KS Prkenný Důl - omezení na svéprávnosti;27499723 MAGIC ENGLISH s.r.o
u smile s r o;Name;U SMILE s.r.o.;Pending;;;;;;;;;;;10;U SMILE s.r.o. 09725733;09725733 U SMILE s.r.o
projektove financovani final home s r o;Name;Projektové financování -FINAL HOME s.r.o.;Pending;;;;;;;;;;;3;Re: Projektové financování -FINAL HOME s.r.o.  IČ: 214 79 780;21479780 FINAL HOME s.r.o
benom real s r o;Name;Benom real s.r.o.;Pending;;;;;;;;;;;3;FW: Benom real s.r.o. IČ: 17584710;17584710 BENOM REAL s.r.o
spolecenstvi vlastniku jednotek zastupuje pouze pan kokta a pani mackova tyto o;Name;společenství vlastníků jednotek zastupuje pouze pan Kokta a paní Macková. Tyto o;Pending;;;;;;;;;;;1;Re: Dotaz k jednání dle OR;00050211 PANORAMA, stavební bytové družstvo
techfarm s r o;Name;TechFarm s.r.o.;Pending;;;;;;;;;;;2;Fw: TechFarm s.r.o. , IČ 28109368;28109368 TechFarm s.r.o
supersportassets s r o;Name;SupersportAssets s.r.o.;Pending;;;;;;;;;;;2;PBH Maceška Martin, ;17348498 SupersportAssets s.r.o
rk ambassador s r o;Name;RK Ambassador s.r.o.;Pending;;;;;;;;;;;5;Ing. Libor Šindelář-Fw: Re: Smlouvy Šohajka;75910781 Ing. Libor Šindelář
vhv real spol s r o;Name;VHV real spol. s r.o.;Pending;;;;;;;;;;;7;Re: konzultace risk - VHV real spol. s r.o. ič: 47124326, cps + 2054074397;47124326 VHV real spol. s r.o
rd hrusovany s r o;Name;RD Hrušovany s.r.o.;Pending;;;;;;;;;;;5;RD Hrušovany s.r.o. , IČ: 10875671;10875671 RD Hrušovany s.r.o
svj uvery pptx;Name;SVJ úvěry.pptx;Pending;;;;;;;;;;;6;Fw: Stanovisko k RRD;SVJ úvěry.pptx
makalove s r o;Name;Makalove s.r.o.;Pending;;;;;;;;;;;3;Fw: Úvěr na pozemek a pgrlf ;04885261 MAKALOVE s.r.o
spolecenstvi vlastniku jednotek skrbenska 1243;Name;Společenství vlastníků jednotek Škrbeňská 1243;Pending;;;;;;;;;;;3;RE: Společenství vlastníků jednotek Škrbeňská 1243, Šenov-Fw: Konzultace;28593723 Společenství vlastníků jednotek Škrbeňská 1243, Šenov
emerging art a s;Name;Emerging Art a.s.;Pending;;;;;;;;;;;6;Re: Emerging Art a.s. 17076757;17076757 Emerging Art a.s
central park lidicka s r o;Name;Central Park Lidická s.r.o.;Pending;;;;;;;;;;;3;"Ověření osob podepisujících ""Zápis z jednání valné hromady""";28359241 Central Park Lidická s.r.o
hdp group s r o;Name;HDP GROUP s.r.o.;Pending;;;;;;;;;;;5;HDP GROUP s.r.o.-Fw: zápis z valné hromady ;27811999 HDP reality a.s
zemos krenov s r o;Name;ZEMOS KŘENOV s.r.o.;Pending;;;;;;;;;;;2;Fw: ID 2068522655 ZEMOS KŘENOV s.r.o. IČO 48155951;48155951 ZEMOS KŘENOV s.r.o
